customerid,transactions,price,quantity,country,date
215,"Onions, Oranges, Chicken",16,12,Canada,7/3/2021
995,"Butter, Cheese",28,9,Germany,3/16/2023
709,"Beef, Potatoes, Bread, Oranges",30,18,Australia,6/30/2023
874,Fish,12,19,Australia,10/15/2023
306,"Carrots, Chicken",73,5,Germany,8/13/2020
191,Carrots,47,3,Germany,7/26/2020
713,"Eggs, Potatoes, Rice, Oranges, Pasta",20,4,Germany,10/14/2021
385,"Rice, Bananas",68,12,Australia,8/18/2024
241,Beef,83,17,United States,1/3/2024
287,"Lettuce, Oranges",95,15,Australia,1/23/2024
532,"Oranges, Cereal, Cheese, Bread, Bananas",2,17,Canada,8/25/2021
595,"Apples, Pasta, Oranges",21,1,United States,12/15/2020
90,"Cheese, Carrots",52,8,Australia,12/11/2021
462,"Milk, Bread, Carrots, Butter, Tomatoes",71,11,Canada,8/13/2023
226,Lettuce,45,13,United States,8/9/2021
943,"Pasta, Cereal",95,18,Canada,11/27/2021
593,"Apples, Tomatoes, Rice, Milk, Bananas",20,15,United Kingdom,2/2/2021
683,"Eggs, Beef, Oranges, Butter",73,14,Australia,7/10/2023
773,"Carrots, Oranges, Cereal, Onions",34,11,Germany,6/8/2023
144,"Beef, Onions, Bread, Butter, Pasta",37,17,Canada,6/27/2021
926,"Onions, Pasta, Butter, Cheese",52,20,Germany,8/8/2021
693,"Apples, Bread, Butter, Eggs",43,13,Germany,7/10/2022
386,"Oranges, Carrots, Tomatoes, Potatoes, Bananas",29,6,United States,3/4/2022
449,"Potatoes, Butter, Onions, Beef, Eggs",58,5,Canada,8/26/2023
315,"Fish, Beef",32,6,Australia,1/25/2024
727,"Eggs, Potatoes, Lettuce, Apples, Oranges",84,19,Germany,5/11/2024
506,"Milk, Apples, Pasta, Grapes",0,16,Canada,10/18/2022
375,"Oranges, Cereal, Fish",90,9,Canada,10/27/2022
605,"Tomatoes, Bread, Grapes, Lettuce",83,10,Canada,1/11/2021
821,"Bananas, Onions",40,18,United Kingdom,7/10/2021
181,"Bread, Oranges, Carrots, Rice",24,19,Canada,10/17/2024
313,"Cereal, Butter, Carrots, Milk",51,4,Germany,7/25/2023
811,"Rice, Apples",81,12,United States,10/16/2020
947,"Tomatoes, Bread, Eggs",95,9,Germany,7/21/2024
421,Potatoes,64,19,Canada,10/30/2024
205,Butter,80,8,Germany,9/24/2024
955,"Eggs, Tomatoes, Beef",43,11,Australia,6/18/2021
510,"Bread, Oranges",7,4,United States,3/2/2023
454,"Bananas, Cheese, Rice, Cereal, Oranges",63,3,Canada,4/9/2021
875,Cereal,43,10,Germany,11/26/2024
285,"Rice, Butter, Cereal, Apples",80,19,United Kingdom,8/15/2021
407,"Bread, Apples",25,1,Germany,10/3/2024
936,Butter,22,19,United States,4/4/2021
26,"Rice, Potatoes",52,15,United States,11/2/2020
46,"Beef, Butter",33,7,Germany,6/29/2023
214,Cereal,70,11,United Kingdom,4/3/2023
72,"Beef, Eggs",23,5,United States,9/6/2024
385,Bananas,,,Canada,4/26/2021
72,"Grapes, Beef, Oranges",72,5,Australia,6/14/2021
319,"Eggs, Butter",53,13,Canada,11/16/2022
860,"Milk, Bananas, Tomatoes, Eggs, Cheese",33,1,United States,8/10/2024
384,Rice,95,7,Germany,7/1/2020
140,"Carrots, Potatoes, Butter, Tomatoes",34,1,United Kingdom,1/19/2024
908,"Fish, Beef, Carrots",48,19,United Kingdom,7/8/2021
844,"Potatoes, Fish, Beef, Chicken",83,8,United Kingdom,2/18/2020
661,Cheese,74,5,Germany,12/8/2022
231,"Bananas, Cheese, Rice",53,16,United States,6/26/2021
986,"Onions, Pasta, Apples, Beef, Oranges",69,10,United States,2/23/2022
452,Tomatoes,51,18,Australia,5/6/2023
274,"Cereal, Beef",69,11,Germany,12/12/2022
785,"Eggs, Milk, Onions, Tomatoes",26,4,Canada,6/9/2020
696,Eggs,46,5,Canada,5/1/2020
395,"Onions, Tomatoes, Oranges, Cheese, Rice",36,1,United States,2/7/2024
662,"Apples, Cereal, Milk",55,4,Australia,4/2/2022
432,"Onions, Butter, Chicken, Rice, Fish",17,12,United States,12/8/2021
597,"Carrots, Potatoes, Rice",79,18,Australia,11/2/2021
179,"Grapes, Potatoes, Carrots, Fish",23,8,Germany,7/30/2020
107,"Oranges, Tomatoes",36,15,United Kingdom,10/6/2024
437,Bread,95,9,Australia,5/25/2024
261,"Bananas, Carrots, Grapes, Rice",69,5,Australia,5/28/2024
314,"Cereal, Fish",59,15,United States,11/1/2022
146,"Cereal, Oranges, Onions",22,5,United States,12/24/2023
444,Bread,5,8,United Kingdom,12/6/2022
179,Chicken,70,3,United States,5/26/2020
253,"Oranges, Lettuce",47,2,United States,12/7/2021
868,"Beef, Bananas",93,16,United Kingdom,8/9/2020
523,Rice,41,8,United States,6/30/2023
230,"Onions, Tomatoes, Bread, Cereal",83,16,Canada,7/24/2024
821,"Beef, Cheese",18,9,Germany,1/31/2022
611,"Cheese, Lettuce, Potatoes",36,2,Australia,5/29/2024
456,"Bread, Oranges, Apples",38,10,Germany,6/12/2023
88,"Tomatoes, Lettuce, Bananas, Potatoes",25,19,Australia,3/18/2022
890,"Apples, Tomatoes, Lettuce",97,11,United States,4/29/2023
799,"Oranges, Rice, Milk",30,18,Canada,2/19/2021
629,"Chicken, Milk, Onions, Lettuce, Apples",25,6,Germany,11/15/2023
834,"Lettuce, Pasta, Cereal, Carrots, Rice",18,17,Canada,4/2/2023
559,"Tomatoes, Bread, Beef, Butter, Grapes",57,14,Australia,1/13/2024
239,"Grapes, Milk, Bread, Butter, Potatoes",33,17,Germany,3/15/2020
337,Grapes,22,12,Canada,4/15/2022
615,Rice,0,18,United States,4/6/2021
563,Beef,43,2,Canada,1/11/2021
299,"Cereal, Tomatoes",96,16,Canada,3/4/2021
679,"Lettuce, Beef, Apples, Milk, Tomatoes",39,14,United States,4/26/2021
892,Apples,86,12,Germany,1/9/2021
200,"Chicken, Bread",78,10,Australia,1/13/2022
768,Onions,63,12,Canada,10/15/2021
661,"Eggs, Pasta, Potatoes, Lettuce, Cereal",30,7,Australia,6/29/2024
469,Eggs,10,4,United Kingdom,10/12/2020
631,Carrots,61,16,Germany,5/13/2020
231,"Carrots, Bread, Milk",28,9,Australia,2/10/2021
473,"Onions, Grapes, Cereal, Milk",51,19,United Kingdom,8/16/2023
898,Butter,28,11,Germany,10/15/2022
132,"Rice, Tomatoes, Milk, Pasta",270,5,Canada,5/31/2021
895,"Fish, Onions, Tomatoes, Bread, Grapes",49,11,United States,1/5/2021
878,"Oranges, Eggs, Chicken, Tomatoes",7,5,Australia,3/28/2024
557,"Milk, Potatoes, Oranges, Pasta",56,18,Canada,3/14/2020
592,"Onions, Grapes, Butter, Chicken, Bread",41,10,United Kingdom,9/6/2021
495,"Bananas, Grapes, Eggs, Milk, Potatoes",88,9,Canada,3/5/2020
316,"Oranges, Butter, Tomatoes, Chicken",65,10,Germany,1/3/2023
675,"Apples, Bananas, Cheese",11,10,United States,2/13/2021
159,"Lettuce, Onions",68,8,Canada,4/29/2020
81,"Carrots, Potatoes, Onions",13,11,Canada,7/10/2024
77,"Eggs, Bread, Oranges, Tomatoes",69,16,United States,7/7/2021
864,"Chicken, Rice, Pasta, Bread, Beef",98,10,Canada,9/16/2021
307,"Chicken, Cheese, Beef, Lettuce",14,7,Germany,9/1/2020
103,"Chicken, Onions",41,11,Canada,8/8/2020
576,"Fish, Eggs, Tomatoes, Rice",63,8,Australia,6/11/2022
199,"Grapes, Potatoes, Beef",30,16,United Kingdom,8/10/2023
550,"Butter, Potatoes, Beef",49,13,United Kingdom,5/20/2024
607,Fish,87,5,Australia,7/7/2022
877,"Bananas, Bread, Carrots",90,3,United States,9/3/2022
597,"Onions, Carrots",8,1,Canada,3/17/2021
300,"Cereal, Chicken, Rice, Eggs, Potatoes",70,5,Germany,8/30/2023
313,"Tomatoes, Bananas, Chicken",54,16,Canada,2/27/2021
102,"Pasta, Milk, Bananas",5,12,Canada,1/23/2021
707,"Oranges, Lettuce",11,20,Canada,12/1/2023
309,Chicken,67,8,Germany,6/12/2021
148,Chicken,34,2,United Kingdom,3/8/2020
16,"Beef, Grapes",72,8,Australia,5/18/2024
718,"Lettuce, Milk",63,14,Australia,10/20/2020
652,"Oranges, Tomatoes",7,15,Canada,7/5/2023
926,"Fish, Chicken, Eggs, Onions",12,9,United States,3/11/2022
785,"Pasta, Fish",45,6,Germany,9/30/2024
492,Potatoes,8,15,Australia,3/18/2024
289,"Rice, Grapes, Onions, Cheese",92,4,Australia,11/26/2021
1000,"Apples, Tomatoes",49,20,Australia,1/19/2023
572,Apples,29,8,United Kingdom,3/4/2024
276,Bananas,56,18,Germany,11/25/2022
250,"Grapes, Beef, Cereal",52,17,Germany,3/25/2020
363,"Potatoes, Lettuce, Oranges",33,16,United States,11/6/2021
668,"Bread, Cheese, Chicken",49,5,Canada,10/27/2023
644,"Onions, Apples, Cereal, Milk",31,18,United Kingdom,9/27/2021
28,"Grapes, Carrots",1,11,Canada,4/14/2020
749,"Potatoes, Oranges, Eggs, Fish, Cheese",56,10,Canada,12/18/2022
304,"Bread, Beef, Onions, Cereal, Pasta",51,5,Canada,10/14/2022
173,"Bananas, Oranges, Potatoes, Cereal",9,5,Canada,3/27/2020
389,"Cereal, Bananas, Oranges, Rice",66,5,Australia,2/19/2024
310,"Eggs, Milk",32,20,United States,8/14/2023
46,"Oranges, Onions, Lettuce, Rice, Butter",77,10,Germany,6/12/2024
365,Milk,54,10,Australia,7/11/2020
896,"Apples, Lettuce, Beef, Cereal, Eggs",16,16,Canada,2/9/2022
330,"Eggs, Apples, Carrots, Pasta",45,2,Canada,11/29/2024
964,"Butter, Tomatoes",24,13,Germany,10/9/2020
938,Onions,46,4,United States,7/9/2022
312,"Eggs, Cheese",79,3,Germany,12/28/2020
137,"Oranges, Tomatoes, Bananas, Potatoes",38,15,Germany,5/21/2024
538,"Cereal, Onions, Bananas",41,3,United States,2/26/2022
533,"Potatoes, Bananas, Tomatoes",3,2,United States,12/2/2024
792,"Lettuce, Carrots, Rice, Beef, Cheese",58,18,United States,5/17/2022
545,"Grapes, Beef, Bananas, Carrots, Chicken",20,1,Australia,9/23/2023
212,Bread,12,17,Germany,3/25/2021
522,"Bananas, Oranges, Carrots, Tomatoes",69,4,Germany,12/12/2021
498,Pasta,67,7,Canada,2/5/2020
307,"Butter, Chicken",75,18,Australia,7/8/2022
638,"Rice, Apples, Bread, Cereal",63,14,Canada,7/26/2023
317,"Butter, Beef, Bananas, Apples",92,6,Germany,6/30/2023
690,"Onions, Tomatoes, Fish, Lettuce",91,8,Germany,8/20/2022
528,Cereal,10,6,Australia,11/19/2022
381,Bananas,46,4,Canada,1/18/2022
7,"Beef, Bread",78,11,Canada,8/17/2021
851,"Tomatoes, Onions",52,16,United Kingdom,12/12/2022
377,"Bananas, Chicken",88,19,United Kingdom,2/12/2024
297,Fish,24,18,Germany,11/17/2021
150,"Fish, Carrots, Potatoes",38,16,Canada,1/24/2021
648,"Tomatoes, Chicken, Milk, Beef, Butter",6,6,Australia,2/26/2024
818,"Tomatoes, Grapes, Butter",77,6,Canada,2/23/2024
671,"Beef, Potatoes",56,2,Australia,3/18/2023
417,Carrots,97,16,United Kingdom,9/25/2021
22,"Milk, Cereal",75,12,United Kingdom,6/18/2020
522,"Chicken, Grapes, Bananas, Butter",22,1,Australia,1/25/2022
503,"Onions, Milk",97,18,Germany,4/27/2021
560,"Eggs, Butter",52,14,United States,6/13/2023
882,Fish,33,11,Canada,12/31/2021
707,"Eggs, Cereal, Bread, Rice",45,2,Australia,6/1/2024
487,"Beef, Apples",33,14,Canada,6/29/2021
905,"Chicken, Pasta, Cheese, Beef",89,9,Australia,1/21/2021
603,"Bread, Butter, Onions, Carrots",53,19,Australia,8/18/2023
109,"Carrots, Potatoes, Pasta",8,8,United Kingdom,10/6/2021
80,"Cereal, Apples",78,1,Germany,11/27/2021
50,"Cereal, Fish",46,7,Germany,5/1/2023
661,"Onions, Apples, Rice, Lettuce",50,10,United States,5/16/2023
159,"Carrots, Apples, Butter",12,8,Canada,12/31/2022
302,"Lettuce, Chicken, Bananas, Fish",24,10,Germany,10/3/2023
840,"Pasta, Cheese",74,18,United States,5/6/2023
538,Oranges,98,10,Canada,9/28/2022
912,"Cheese, Lettuce, Fish, Potatoes",11,3,Germany,8/8/2024
799,"Bananas, Milk, Fish, Bread",48,19,Germany,4/21/2022
234,"Fish, Tomatoes, Pasta, Rice",25,1,United States,11/27/2022
559,"Pasta, Carrots, Eggs",13,8,United States,9/25/2021
232,"Cereal, Pasta",13,19,Germany,1/25/2020
767,"Cheese, Tomatoes, Chicken",63,13,Australia,2/12/2021
741,"Apples, Fish, Grapes, Milk, Cheese",97,14,United Kingdom,2/19/2020
266,Lettuce,50,1,United States,10/27/2021
118,"Grapes, Cheese, Onions, Potatoes, Oranges",91,14,United Kingdom,8/6/2023
538,"Pasta, Milk, Tomatoes, Bananas, Fish",79,1,Canada,1/31/2022
601,Pasta,63,16,Germany,6/8/2023
94,"Rice, Oranges, Onions, Carrots, Butter",22,11,Australia,10/23/2022
828,"Cereal, Cheese, Grapes, Carrots, Bananas",61,7,Canada,2/16/2024
610,"Apples, Cheese, Onions, Cereal",67,7,Canada,1/12/2022
96,"Butter, Potatoes, Grapes",33,7,United States,11/25/2021
658,"Bananas, Eggs",48,12,Canada,12/7/2020
957,"Bananas, Cheese, Cereal, Oranges",68,14,United States,9/7/2021
68,Beef,6,14,Germany,5/19/2020
594,Tomatoes,85,15,United Kingdom,7/22/2023
678,"Onions, Cheese, Carrots, Bread, Cereal",38,17,Canada,8/24/2023
772,"Bananas, Eggs",35,2,Germany,9/24/2022
294,"Beef, Fish, Pasta, Cereal, Potatoes",94,19,United Kingdom,6/13/2020
926,"Tomatoes, Rice",,,Germany,8/18/2023
858,Rice,48,2,United Kingdom,8/23/2022
517,"Cheese, Chicken, Fish, Oranges",76,17,United States,5/27/2024
36,"Butter, Bread",54,8,Germany,1/24/2020
925,Lettuce,67,18,Australia,12/24/2021
29,"Apples, Carrots, Cheese",13,18,Canada,1/1/2023
408,Bananas,9,5,Germany,11/24/2022
761,"Apples, Onions, Chicken, Grapes",34,13,Canada,4/29/2021
584,Tomatoes,4,18,Australia,12/9/2020
534,"Carrots, Cheese, Onions",97,4,United Kingdom,2/21/2022
203,Eggs,99,13,United States,3/12/2020
915,"Tomatoes, Bananas, Cheese",33,1,Germany,4/1/2024
718,"Rice, Tomatoes, Potatoes",70,2,Germany,3/6/2021
868,"Milk, Carrots, Oranges, Rice, Eggs",47,17,United States,3/29/2020
281,"Cereal, Chicken",56,10,Canada,5/23/2021
627,Chicken,66,4,Canada,5/13/2022
422,"Potatoes, Apples, Onions, Lettuce, Fish",53,3,Germany,7/6/2024
555,"Rice, Chicken, Grapes, Cheese",69,6,Australia,2/14/2021
541,"Beef, Bananas, Cereal",72,13,Germany,12/18/2021
261,"Chicken, Butter, Pasta, Beef, Milk",91,19,United Kingdom,8/22/2020
778,Rice,49,13,United States,3/30/2022
463,Fish,50,14,Canada,4/28/2020
256,Fish,89,1,Australia,4/4/2021
352,"Lettuce, Cheese, Cereal, Butter",1,9,Germany,4/24/2024
215,"Potatoes, Apples, Oranges",3,4,Australia,4/20/2021
95,"Onions, Beef, Bread, Potatoes, Cereal",37,8,Germany,12/18/2021
362,Grapes,69,9,Canada,2/4/2021
230,"Tomatoes, Rice, Eggs, Cheese",27,1,Canada,2/20/2021
410,"Milk, Eggs, Pasta, Cheese, Bananas",67,2,United Kingdom,7/9/2021
860,"Fish, Tomatoes, Eggs, Pasta, Grapes",20,4,Canada,2/22/2021
785,"Oranges, Pasta, Milk, Cheese, Butter",20,1,United States,4/20/2024
776,Milk,62,10,United Kingdom,10/13/2021
524,Potatoes,38,13,United States,2/9/2021
559,"Eggs, Potatoes",63,14,United States,12/20/2023
937,Pasta,84,15,Canada,11/18/2020
840,"Butter, Beef, Chicken, Grapes, Bananas",85,3,United States,4/14/2021
677,"Potatoes, Rice, Pasta, Milk",76,3,Germany,9/14/2020
419,"Pasta, Oranges, Carrots",97,7,Germany,5/20/2022
367,"Bread, Pasta",94,2,United Kingdom,7/30/2020
630,"Chicken, Oranges",99,15,Canada,1/10/2021
474,"Potatoes, Beef, Onions, Bread",61,2,Canada,9/28/2024
802,"Butter, Bread, Tomatoes, Potatoes",16,16,Australia,3/10/2022
767,"Potatoes, Bread",780,5,United States,6/21/2023
813,"Carrots, Bananas",27,8,Germany,5/11/2020
958,Milk,24,20,United Kingdom,10/30/2020
932,"Fish, Apples",37,20,Canada,9/14/2023
177,Carrots,75,19,United States,3/16/2021
53,"Lettuce, Chicken, Milk",40,20,United States,6/23/2023
499,Onions,61,19,United Kingdom,6/20/2022
801,"Pasta, Eggs",83,12,Canada,6/12/2023
628,"Bread, Milk, Cheese, Lettuce, Rice",3,2,United States,8/17/2023
463,"Potatoes, Grapes, Bananas",37,19,United States,1/4/2022
170,Butter,44,8,Australia,3/15/2020
55,Oranges,15,8,Canada,8/27/2021
810,"Eggs, Apples",51,12,United States,7/31/2021
403,"Potatoes, Butter",44,10,United Kingdom,12/26/2023
307,"Grapes, Bread, Eggs",62,6,Australia,5/30/2021
109,"Cereal, Tomatoes",8,1,Germany,4/29/2023
455,"Beef, Bananas",65,5,United States,10/2/2024
726,Eggs,39,16,Canada,10/23/2021
475,"Bread, Fish, Cheese",24,14,United States,9/6/2023
453,"Apples, Chicken, Cereal, Butter",13,19,United Kingdom,6/11/2021
912,Potatoes,38,7,Canada,1/28/2020
776,"Beef, Butter, Bread",870,16,Canada,6/18/2021
361,Bananas,81,16,Australia,1/15/2021
391,"Beef, Carrots, Grapes, Rice",10,20,Canada,11/26/2024
669,"Eggs, Bananas",13,5,Australia,8/11/2021
25,"Potatoes, Grapes",66,6,United Kingdom,1/4/2024
955,"Pasta, Carrots, Grapes",54,10,Germany,10/29/2022
731,"Apples, Pasta",76,14,United States,4/9/2024
313,Eggs,87,20,Canada,2/27/2022
145,"Onions, Grapes, Tomatoes, Oranges, Rice",30,9,Canada,7/13/2021
163,"Oranges, Onions, Cereal",36,10,Australia,11/27/2022
484,"Oranges, Chicken, Butter, Carrots",55,19,Canada,9/2/2023
344,Oranges,,,United States,11/29/2022
999,"Milk, Apples, Lettuce",41,10,United Kingdom,11/2/2022
169,"Pasta, Cheese, Bananas, Carrots",62,3,Australia,5/11/2023
763,"Carrots, Grapes, Lettuce",56,20,Germany,9/22/2021
304,Fish,43,18,Australia,4/15/2021
175,"Cheese, Apples, Potatoes, Rice",84,1,Canada,8/6/2022
139,"Pasta, Carrots, Grapes",48,7,United Kingdom,2/8/2024
100,"Grapes, Potatoes, Onions",3,1,Canada,7/9/2023
828,"Potatoes, Milk, Bread, Lettuce, Carrots",27,17,United States,3/13/2022
827,Onions,87,12,United Kingdom,2/26/2022
784,Rice,13,15,Australia,10/23/2022
658,"Pasta, Bananas, Eggs",17,20,United Kingdom,8/12/2023
976,"Fish, Butter, Bread, Tomatoes",85,14,United Kingdom,4/29/2022
857,"Carrots, Milk, Cheese",28,18,United Kingdom,8/5/2020
865,Carrots,72,5,Germany,4/29/2021
384,"Oranges, Butter, Rice, Carrots, Bananas",64,19,United States,6/12/2024
468,Grapes,13,13,Australia,9/15/2021
913,Beef,55,10,United States,5/30/2024
757,"Fish, Beef",99,16,Germany,2/27/2020
211,"Bananas, Grapes, Bread",68,8,Australia,7/1/2023
445,"Pasta, Lettuce, Bread, Chicken",62,9,Australia,1/8/2024
443,"Pasta, Bananas, Potatoes, Beef, Milk",25,19,United States,1/27/2021
451,"Eggs, Carrots",58,13,United States,2/11/2022
445,"Potatoes, Bananas, Rice",78,3,Australia,6/10/2020
965,"Chicken, Eggs, Cereal, Butter, Bread",82,8,Germany,7/17/2022
297,"Rice, Pasta, Cereal",95,13,Germany,4/29/2020
730,Bananas,87,1,United States,6/24/2022
731,"Fish, Lettuce, Bread",0,17,Australia,6/17/2022
155,"Butter, Bananas, Tomatoes, Chicken, Pasta",19,17,Australia,9/20/2021
946,"Pasta, Eggs, Grapes",58,4,United States,9/12/2021
272,Bread,2,14,United States,10/21/2024
295,"Cereal, Milk, Potatoes, Cheese",70,16,Germany,10/8/2021
107,"Beef, Bread, Carrots",53,15,Germany,4/10/2022
33,"Cereal, Eggs, Chicken, Onions",17,8,United Kingdom,9/17/2022
394,Carrots,33,11,Germany,12/28/2022
566,"Carrots, Rice, Bread",18,15,Canada,5/28/2024
121,"Beef, Potatoes, Fish, Milk",75,18,United Kingdom,3/8/2021
927,"Cheese, Fish, Tomatoes",66,1,Canada,9/20/2021
917,"Tomatoes, Potatoes",6,12,United States,1/10/2023
28,"Apples, Oranges, Carrots, Bananas, Pasta",15,7,United States,4/6/2023
178,"Rice, Chicken, Oranges, Bread",65,2,Germany,1/9/2020
40,"Eggs, Tomatoes",93,17,United Kingdom,11/27/2021
215,"Milk, Butter, Eggs",59,2,Germany,1/9/2024
898,"Oranges, Pasta, Potatoes",65,14,United Kingdom,3/17/2022
52,"Lettuce, Potatoes, Apples, Tomatoes",67,3,Australia,4/20/2022
521,"Onions, Fish, Pasta",11,11,United States,1/1/2023
496,"Cheese, Grapes, Apples, Bread, Milk",92,4,United States,7/30/2022
517,"Cereal, Butter, Lettuce",40,6,Germany,9/19/2024
95,"Fish, Onions",920,20,United States,10/5/2020
316,"Potatoes, Milk",11,7,United States,4/29/2024
56,"Rice, Apples",44,8,United States,8/30/2023
959,"Oranges, Tomatoes, Butter",49,1,Australia,3/14/2021
926,"Chicken, Carrots, Bread, Grapes",31,15,Canada,4/12/2022
340,Grapes,38,16,United States,4/26/2024
474,Fish,41,2,United States,12/9/2024
36,Oranges,7,20,Canada,1/13/2022
846,"Cereal, Tomatoes, Grapes, Fish",33,6,Australia,11/14/2022
486,"Tomatoes, Potatoes, Bread",27,15,Australia,7/3/2020
258,"Oranges, Apples, Cereal",34,7,United States,3/17/2021
746,"Apples, Butter",32,7,Australia,5/4/2023
545,"Oranges, Tomatoes, Fish, Pasta, Beef",94,3,United States,5/14/2020
908,Onions,91,10,United Kingdom,5/26/2023
818,Chicken,19,1,United States,4/20/2024
389,"Eggs, Bananas, Bread, Onions",66,19,Germany,10/8/2023
5,Chicken,4,20,Canada,7/7/2024
872,"Grapes, Lettuce, Eggs",5,2,Germany,3/25/2023
684,Eggs,3,11,Canada,10/17/2021
445,"Onions, Carrots, Tomatoes, Cereal, Milk",9,19,Canada,5/14/2023
643,Cheese,16,10,United Kingdom,3/21/2021
266,"Grapes, Tomatoes",13,7,Australia,3/12/2024
266,"Milk, Onions, Pasta",89,1,Australia,11/28/2020
980,"Cheese, Eggs, Chicken, Onions, Bread",7,10,Germany,6/7/2020
529,Carrots,78,11,United States,8/8/2023
808,"Chicken, Butter",69,8,United Kingdom,2/24/2022
552,"Carrots, Eggs, Rice, Cereal, Pasta",88,4,Germany,8/20/2021
552,Onions,35,10,United States,1/29/2022
172,"Grapes, Fish, Pasta",5,10,Germany,6/19/2024
600,"Pasta, Grapes",66,7,Germany,3/28/2023
333,"Butter, Cheese, Grapes, Lettuce, Milk",17,12,Australia,10/22/2023
206,"Rice, Bread, Cheese, Apples, Oranges",47,3,Canada,11/16/2022
164,"Potatoes, Lettuce, Beef",22,20,United Kingdom,3/21/2020
405,"Potatoes, Pasta, Eggs, Chicken, Fish",93,1,Canada,11/23/2023
188,"Potatoes, Milk, Cereal, Apples",84,11,Canada,8/28/2024
213,"Milk, Potatoes, Bread, Butter",76,13,United States,7/7/2022
989,"Cheese, Bananas",56,1,Germany,8/3/2022
828,Chicken,9,3,Canada,9/18/2021
654,Rice,80,8,United Kingdom,4/29/2023
411,Lettuce,31,18,United States,10/6/2020
471,Apples,77,16,United States,2/8/2023
229,"Apples, Tomatoes, Oranges, Onions",63,17,United States,7/27/2020
503,"Butter, Cheese, Lettuce",1,1,Canada,9/8/2024
719,"Beef, Cereal, Rice, Oranges",87,8,United Kingdom,3/3/2022
425,"Bread, Apples, Cereal, Lettuce",95,20,Australia,2/11/2023
643,"Carrots, Oranges, Butter",40,5,Canada,12/26/2022
533,Apples,27,11,Canada,11/3/2020
620,"Tomatoes, Butter",99,12,Canada,11/23/2020
302,"Chicken, Cereal, Onions, Bananas",89,6,Australia,3/1/2022
650,"Apples, Potatoes",26,12,United States,6/25/2021
335,"Bread, Rice, Oranges, Apples",35,14,United Kingdom,12/21/2020
712,"Chicken, Cheese, Fish",9,10,United States,7/16/2023
720,"Chicken, Oranges, Cheese, Butter, Apples",82,18,Australia,7/21/2022
450,"Onions, Potatoes",35,19,United Kingdom,9/5/2021
327,"Bananas, Apples, Grapes",53,4,Australia,10/19/2022
682,"Beef, Pasta, Fish",3,9,United States,7/24/2020
625,Apples,68,11,United States,7/20/2023
756,Cheese,30,20,United Kingdom,3/23/2021
921,"Potatoes, Grapes, Bread",17,20,United States,9/11/2021
916,"Rice, Tomatoes, Cheese, Onions, Butter",3,20,Australia,11/3/2024
21,"Rice, Eggs",26,8,United States,1/5/2023
202,"Pasta, Chicken, Potatoes, Bananas",36,4,Canada,8/23/2021
240,"Bananas, Eggs, Potatoes, Fish, Milk",97,7,Canada,8/26/2021
903,Carrots,37,3,Germany,4/10/2020
43,"Pasta, Potatoes, Tomatoes",49,20,Germany,9/20/2023
512,"Rice, Eggs",91,13,United Kingdom,1/18/2023
75,"Oranges, Fish, Eggs",54,17,Germany,10/29/2024
833,"Milk, Rice, Bananas",26,2,United States,4/24/2021
349,"Cheese, Lettuce, Rice, Onions, Pasta",2,16,United Kingdom,8/14/2021
162,"Milk, Apples",21,6,United States,7/24/2024
768,"Milk, Fish, Potatoes, Oranges, Eggs",87,16,Australia,7/28/2020
884,"Oranges, Bread, Lettuce, Bananas, Rice",69,20,United Kingdom,4/5/2024
506,"Potatoes, Milk, Pasta, Grapes, Bananas",53,8,Australia,4/13/2024
580,"Oranges, Fish",65,16,Australia,5/27/2021
799,"Cheese, Carrots, Eggs, Apples, Lettuce",69,5,Canada,12/19/2022
766,"Fish, Bread, Chicken, Rice",50,3,United Kingdom,2/5/2024
976,"Bananas, Grapes, Beef",11,16,United Kingdom,3/22/2020
896,Chicken,95,19,Canada,7/26/2024
963,"Pasta, Rice, Butter, Fish",68,12,Australia,8/6/2024
376,Fish,7,1,United States,1/12/2023
952,"Onions, Rice, Cheese, Butter",41,3,United Kingdom,1/17/2023
100,"Eggs, Cheese",7,7,Canada,2/4/2021
813,Eggs,84,11,Germany,1/22/2021
819,"Pasta, Fish, Carrots, Chicken",73,16,Canada,5/10/2020
313,"Lettuce, Cereal",44,1,Germany,6/6/2024
765,"Eggs, Bananas, Fish",73,1,United Kingdom,3/31/2024
654,"Fish, Grapes",25,20,Canada,5/29/2020
392,"Carrots, Lettuce, Butter, Apples",20,2,United States,12/18/2023
609,"Potatoes, Carrots, Rice, Cheese",14,11,United Kingdom,12/14/2023
40,Bananas,32,1,United States,3/6/2020
559,"Potatoes, Fish, Onions",99,9,United Kingdom,4/10/2024
783,Onions,47,10,Canada,7/17/2020
53,"Cereal, Beef, Lettuce, Oranges, Eggs",98,6,United Kingdom,7/19/2022
578,Butter,54,18,United States,5/5/2023
298,"Bananas, Bread, Apples, Tomatoes",36,4,Germany,10/10/2020
447,"Pasta, Butter, Milk, Eggs, Grapes",50,9,Germany,9/9/2021
880,"Beef, Fish, Tomatoes, Onions",53,1,Germany,3/19/2020
223,Apples,11,7,Germany,2/14/2020
156,"Grapes, Butter",22,8,Australia,9/30/2023
360,Tomatoes,24,15,Canada,3/3/2023
91,"Rice, Cereal, Grapes, Potatoes, Oranges",6,15,Germany,12/25/2021
482,Bananas,29,9,United States,7/27/2024
